No.,Country,Date,Confirmed,Death,newConfirmed,newDeath
1,Romania,2019-12-31,0,0,0,0
2,Romania,2020-01-01,0,0,0,0
3,Romania,2020-01-02,0,0,0,0
4,Romania,2020-01-03,0,0,0,0
5,Romania,2020-01-04,0,0,0,0
6,Romania,2020-01-05,0,0,0,0
7,Romania,2020-01-06,0,0,0,0
8,Romania,2020-01-07,0,0,0,0
9,Romania,2020-01-08,0,0,0,0
10,Romania,2020-01-09,0,0,0,0
11,Romania,2020-01-10,0,0,0,0
12,Romania,2020-01-11,0,0,0,0
13,Romania,2020-01-12,0,0,0,0
14,Romania,2020-01-13,0,0,0,0
15,Romania,2020-01-14,0,0,0,0
16,Romania,2020-01-15,0,0,0,0
17,Romania,2020-01-16,0,0,0,0
18,Romania,2020-01-17,0,0,0,0
19,Romania,2020-01-18,0,0,0,0
20,Romania,2020-01-19,0,0,0,0
21,Romania,2020-01-20,0,0,0,0
22,Romania,2020-01-21,0,0,0,0
23,Romania,2020-01-22,0,0,0,0
24,Romania,2020-01-23,0,0,0,0
25,Romania,2020-01-24,0,0,0,0
26,Romania,2020-01-25,0,0,0,0
27,Romania,2020-01-26,0,0,0,0
28,Romania,2020-01-27,0,0,0,0
29,Romania,2020-01-28,0,0,0,0
30,Romania,2020-01-29,0,0,0,0
31,Romania,2020-01-30,0,0,0,0
32,Romania,2020-01-31,0,0,0,0
33,Romania,2020-02-01,0,0,0,0
34,Romania,2020-02-02,0,0,0,0
35,Romania,2020-02-03,0,0,0,0
36,Romania,2020-02-04,0,0,0,0
37,Romania,2020-02-05,0,0,0,0
38,Romania,2020-02-06,0,0,0,0
39,Romania,2020-02-07,0,0,0,0
40,Romania,2020-02-08,0,0,0,0
41,Romania,2020-02-09,0,0,0,0
42,Romania,2020-02-10,0,0,0,0
43,Romania,2020-02-11,0,0,0,0
44,Romania,2020-02-12,0,0,0,0
45,Romania,2020-02-13,0,0,0,0
46,Romania,2020-02-14,0,0,0,0
47,Romania,2020-02-15,0,0,0,0
48,Romania,2020-02-16,0,0,0,0
49,Romania,2020-02-17,0,0,0,0
50,Romania,2020-02-18,0,0,0,0
51,Romania,2020-02-19,0,0,0,0
52,Romania,2020-02-20,0,0,0,0
53,Romania,2020-02-21,0,0,0,0
54,Romania,2020-02-22,0,0,0,0
55,Romania,2020-02-23,0,0,0,0
56,Romania,2020-02-24,0,0,0,0
57,Romania,2020-02-25,0,0,0,0
58,Romania,2020-02-26,1,0,1,0
59,Romania,2020-02-27,1,0,0,0
60,Romania,2020-02-28,3,0,2,0
61,Romania,2020-02-29,3,0,0,0
62,Romania,2020-03-01,3,0,0,0
63,Romania,2020-03-02,3,0,0,0
64,Romania,2020-03-03,3,0,0,0
65,Romania,2020-03-04,4,0,1,0
66,Romania,2020-03-05,6,0,2,0
67,Romania,2020-03-06,9,0,3,0
68,Romania,2020-03-07,9,0,0,0
69,Romania,2020-03-08,15,0,6,0
70,Romania,2020-03-09,15,0,0,0
71,Romania,2020-03-10,25,0,10,0
72,Romania,2020-03-11,45,0,20,0
73,Romania,2020-03-12,49,0,4,0
74,Romania,2020-03-13,89,0,40,0
75,Romania,2020-03-14,123,0,34,0
76,Romania,2020-03-15,131,0,8,0
77,Romania,2020-03-16,158,0,27,0
78,Romania,2020-03-17,184,0,26,0
79,Romania,2020-03-18,260,0,76,0
80,Romania,2020-03-19,277,0,17,0
81,Romania,2020-03-20,308,0,31,0
82,Romania,2020-03-21,367,0,59,0
83,Romania,2020-03-22,433,3,66,3
84,Romania,2020-03-23,576,7,143,4
85,Romania,2020-03-24,794,11,218,4
86,Romania,2020-03-25,906,17,112,6
87,Romania,2020-03-26,1029,23,123,6
88,Romania,2020-03-27,1292,26,263,3
89,Romania,2020-03-28,1452,37,160,11
90,Romania,2020-03-29,1815,43,363,6
91,Romania,2020-03-30,2109,65,294,22
92,Romania,2020-03-31,2245,82,136,17
93,Romania,2020-04-01,2460,92,215,10
94,Romania,2020-04-02,2738,115,278,23
95,Romania,2020-04-03,3183,133,445,18
96,Romania,2020-04-04,3613,146,430,13
97,Romania,2020-04-05,3864,151,251,5
98,Romania,2020-04-06,4057,176,193,25
99,Romania,2020-04-07,4417,197,360,21
100,Romania,2020-04-08,4761,220,344,23
101,Romania,2020-04-09,5202,248,441,28
102,Romania,2020-04-10,5467,270,265,22
103,Romania,2020-04-11,5990,291,523,21
104,Romania,2020-04-12,6300,316,310,25
105,Romania,2020-04-13,6633,331,333,15
106,Romania,2020-04-14,6879,351,246,20
107,Romania,2020-04-15,7216,372,337,21
108,Romania,2020-04-16,7707,392,491,20
109,Romania,2020-04-17,8067,411,360,19
110,Romania,2020-04-18,8418,421,351,10
111,Romania,2020-04-19,8746,451,328,30
112,Romania,2020-04-20,8936,478,190,27
113,Romania,2020-04-21,9242,498,306,20
114,Romania,2020-04-22,9710,524,468,26
115,Romania,2020-04-23,10096,545,386,21
116,Romania,2020-04-24,10417,567,321,22
117,Romania,2020-04-25,10635,601,218,34
118,Romania,2020-04-26,11036,619,401,18
119,Romania,2020-04-27,11339,641,303,22
120,Romania,2020-04-28,11616,663,277,22
121,Romania,2020-04-29,11978,693,362,30
